,nodeid,longitude,latitude,elevation
94,94,-121.271912,39.206665,275
95,95,-121.265106,39.205734,316
96,96,-121.257339,39.208729,366
97,97,-121.247124,39.209965,361
98,98,-121.238823,39.208393,383
99,99,-121.234863,39.205997,407
100,100,-121.228951,39.205269,513
101,101,-121.220161,39.200275,477
102,102,-121.214279,39.199997,459
103,103,-121.208267,39.202934,457
104,104,-121.199821,39.204342,430
105,105,-121.184273,39.199097,427
106,106,-121.174583,39.199165,437
107,107,-121.169212,39.203224,432
108,108,-121.154678,39.217186,513
109,109,-121.145897,39.223408,532
110,110,-121.138748,39.227062,552
111,111,-121.130798,39.232346,632
112,112,-121.11438,39.233074,694
113,113,-121.102783,39.230446,753
114,114,-121.090401,39.229675,787
115,115,-121.069077,39.220695,763
116,116,-122.003349,39.196804,16
117,117,-121.056808,39.190098,727
118,118,-122.434464,39.187435,430
119,119,-122.426064,39.187477,486
120,120,-122.489113,39.287403,377
121,121,-122.494102,39.27895,386
122,122,-122.492622,39.274658,397
123,123,-122.478653,39.264233,388
124,124,-122.448776,39.22398,497
125,125,-122.4412,39.212372,478
126,126,-122.43322,39.190697,448
127,127,-122.032143,39.195229,14
128,128,-122.045242,39.193356,16
129,129,-122.088432,39.193321,14
130,130,-122.100578,39.190338,16
131,131,-122.135117,39.170452,19
132,132,-122.142319,39.168339,19
133,133,-122.146797,39.173897,21
134,134,-122.162148,39.210655,20
135,135,-122.183403,39.265053,24
136,136,-122.183868,39.272137,25
137,137,-120.147171,39.16748,1909
138,138,-120.140587,39.176151,1939
139,139,-120.125671,39.184959,1921
140,140,-120.104187,39.191162,1981
141,141,-120.102493,39.192574,1988
142,142,-120.097923,39.203667,1973
143,143,-120.087013,39.225201,1934
144,144,-120.083878,39.227558,1935
145,145,-120.075439,39.229576,1939
146,146,-120.070679,39.235634,1913
147,147,-120.064392,39.240349,1962
148,148,-120.057129,39.24234,1939
149,149,-120.037437,39.242085,1920
150,150,-120.207771,39.299168,1857
151,151,-120.211182,39.289017,1893
152,152,-120.20874,39.279457,1843
153,153,-120.21212,39.26862,1913
154,154,-120.21357,39.253475,1909
155,155,-120.208008,39.232082,1886
156,156,-120.204407,39.223007,1895
157,157,-120.203018,39.210445,1910
158,158,-120.194061,39.199432,1968
159,159,-120.185387,39.180855,2205
160,160,-120.173843,39.170818,2137
161,161,-120.159851,39.165867,1978
162,162,-120.151627,39.166054,1948
163,163,-120.378387,39.294434,2175
164,164,-120.379913,39.288673,2117
165,165,-120.376328,39.273647,2052
166,166,-120.373901,39.271873,2035
167,167,-120.370018,39.270367,1904
168,168,-120.360748,39.273571,1857
169,169,-120.356361,39.274136,1882
170,170,-120.354187,39.257702,1822
171,171,-120.350952,39.250454,1787
172,172,-120.358391,39.245693,1805
173,173,-120.368263,39.242706,1855
174,174,-120.382622,39.242126,1923
175,175,-120.378807,39.235352,2091
176,176,-120.383888,39.230419,2027
177,177,-120.397957,39.229843,1938
178,178,-120.410347,39.224041,2003
179,179,-120.413879,39.217545,2011
180,180,-120.415047,39.210648,1929
181,181,-120.421249,39.204536,2010
182,182,-120.423958,39.199207,2033
183,183,-120.428574,39.197029,2074
184,184,-120.435661,39.184719,2133
185,185,-120.441818,39.177692,2091
186,186,-120.450928,39.17128,2129
187,187,-120.455612,39.170937,2062
188,188,-120.46077,39.174702,1987
189,189,-120.474411,39.17115,2033
190,190,-120.491287,39.161335,2100
191,191,-120.49826,39.166199,2058
192,192,-121.569557,39.15995,21
193,193,-121.550919,39.174862,21
194,194,-121.533813,39.193764,24
195,195,-121.521294,39.200829,25
196,196,-121.515961,39.20536,28
197,197,-121.624672,39.159645,18
198,198,-121.631973,39.179878,20
199,199,-121.570137,39.159515,21
200,200,-121.598717,39.218822,22
201,201,-121.594673,39.199947,21
202,202,-121.592827,39.178471,21
203,203,-121.589493,39.161636,20
204,204,-121.58976,39.159126,20
205,205,-121.590469,39.157936,24
206,206,-121.95546,39.151741,15
207,207,-121.984467,39.180286,13
208,208,-122.001846,39.194759,15
209,209,-121.947243,39.153713,15
210,210,-121.935623,39.15094,15
211,211,-121.911537,39.150909,14
212,212,-121.906143,39.144459,12
213,213,-121.839752,39.143902,14
214,214,-121.820312,39.147583,15
215,215,-121.789497,39.14777,13
216,216,-121.776047,39.143898,12
217,217,-121.740517,39.143784,13
218,218,-121.734459,39.145603,15
219,219,-121.706093,39.144604,14
220,220,-121.644997,39.142086,17
221,221,-121.638832,39.141842,18
222,222,-121.630928,39.140041,16
223,223,-121.604874,39.133644,24
224,224,-121.589546,39.132824,21
225,225,-121.555008,39.13097,19
226,226,-121.541191,39.130226,19
227,227,-121.618881,39.121582,17
228,228,-120.952087,39.118885,733
229,229,-120.94136,39.128265,700
230,230,-120.934219,39.138092,691
231,231,-120.923958,39.144115,779
232,232,-120.911552,39.15432,896
233,233,-120.89782,39.149673,889
234,234,-120.888107,39.149265,865
235,235,-120.868881,39.158058,936
236,236,-120.862633,39.168312,1112
237,237,-120.853432,39.172237,936
238,238,-120.841911,39.182865,931
239,239,-120.834648,39.184444,1004
240,240,-120.831009,39.18203,1032
241,241,-120.820007,39.185314,1115
242,242,-120.816277,39.187023,1178
243,243,-120.814484,39.192341,1047
244,244,-120.810028,39.197502,1095
245,245,-120.794388,39.202057,1153
246,246,-120.78064,39.209312,1226
247,247,-120.767616,39.219746,1276
248,248,-120.746193,39.24461,1357
249,249,-120.707047,39.28117,1623
250,250,-120.694527,39.289749,1635
251,251,-120.685898,39.293877,1536
252,252,-121.04406,39.208385,821
253,253,-121.030647,39.19894,867
254,254,-121.020363,39.198555,895
255,255,-121.013344,39.199223,898
256,256,-121.009178,39.1982,892
257,257,-121.00174,39.190632,823
258,258,-120.995178,39.188534,833
259,259,-120.97113,39.18924,796
260,260,-120.963837,39.155323,742
261,261,-120.964493,39.150726,728
262,262,-120.964104,39.142719,700
263,263,-120.960114,39.133446,650
264,264,-121.622429,39.1185,17
265,265,-121.634171,39.108315,18
266,266,-121.634193,39.107391,18
267,267,-121.291908,39.196182,254
268,268,-121.300293,39.193855,231
269,269,-121.307243,39.181263,308
270,270,-121.314079,39.17738,229
271,271,-121.316582,39.169514,193
272,272,-121.311058,39.149071,139
273,273,-121.314178,39.136372,108
274,274,-121.315422,39.132439,101
275,275,-121.328117,39.1231,119
276,276,-121.334534,39.116936,77
277,277,-121.337059,39.104256,80
278,278,-121.407722,39.100842,31
279,279,-121.416458,39.10104,35
280,280,-121.419609,39.101112,32
281,281,-121.425453,39.100464,28
282,282,-121.424553,39.110573,31
283,283,-121.425781,39.116951,31
284,284,-121.425529,39.122913,30
285,285,-121.475853,39.130413,21
286,286,-121.454361,39.129292,24
287,287,-121.449013,39.128098,29
288,288,-121.443199,39.123936,30
289,289,-121.433647,39.105694,28
290,290,-121.430267,39.102825,29
291,291,-121.542702,39.085979,18
292,292,-121.541977,39.085361,19
293,293,-121.528679,39.073879,19
294,294,-121.496643,39.052975,21
295,295,-122.403999,39.040386,502
296,296,-122.404648,39.041279,446
297,297,-122.403732,39.044983,583
298,298,-122.404907,39.053646,417
299,299,-122.408249,39.067947,405
300,300,-122.408363,39.090637,393
301,301,-122.411522,39.093945,393
302,302,-122.426483,39.098145,402
303,303,-122.428963,39.11684,402
304,304,-122.434357,39.12281,405
305,305,-122.432671,39.144882,404
306,306,-122.440948,39.149815,406
307,307,-122.442307,39.160988,409
308,308,-122.439598,39.172562,451
309,309,-122.413383,39.039867,451
310,310,-120.813423,39.022068,1000
311,311,-120.807564,39.024418,1031
312,312,-120.794121,39.031437,1010
313,313,-120.774384,39.053745,1127
314,314,-120.767487,39.056683,1113
315,315,-120.751472,39.058956,1191
316,316,-120.748199,39.064087,1221
317,317,-120.7425,39.06768,1211
318,318,-120.733742,39.074558,1228
319,319,-120.729347,39.081093,1248
320,320,-120.71254,39.116364,1377
321,321,-120.693649,39.139091,1479
322,322,-120.668694,39.151443,1544
323,323,-120.654037,39.164429,1600
324,324,-120.63987,39.175568,1625
325,325,-120.621246,39.179268,1660
326,326,-120.601883,39.185734,1675
327,327,-120.584396,39.188709,1692
328,328,-120.568123,39.192341,1677
329,329,-120.559288,39.185238,1771
330,330,-120.546661,39.185337,1947
331,331,-120.539162,39.181637,1964
332,332,-120.531914,39.183655,2029
333,333,-120.524849,39.176739,2005
334,334,-120.500267,39.171871,2009
335,335,-122.15506,39.152264,26
336,336,-122.166748,39.151356,24
337,337,-122.241699,39.152321,40
338,338,-122.253464,39.148186,43
339,339,-122.261307,39.146961,47
340,340,-122.276833,39.133286,57
341,341,-122.292473,39.117081,70
342,342,-122.304482,39.10812,101
343,343,-122.331047,39.101784,242
344,344,-122.338097,39.097607,261
345,345,-122.344994,39.086784,223
346,346,-122.34668,39.077091,229
347,347,-122.3461,39.064278,304
348,348,-122.339973,39.034729,405
349,349,-122.341217,39.027344,428
350,350,-122.345284,39.022366,478
351,351,-122.355331,39.019207,354
352,352,-122.362892,39.014088,359
353,353,-122.378998,39.018024,459
354,354,-122.388519,39.024284,467
355,355,-122.39183,39.025524,507
356,356,-122.40361,39.039028,442
357,357,-120.802567,39.018143,981
358,358,-120.79866,39.016193,793
359,359,-120.790092,39.020782,804
360,360,-120.784576,39.028034,825
361,361,-120.778419,39.021793,802
362,362,-120.770737,39.020401,876
363,363,-120.768021,39.018646,755
364,364,-120.760712,39.019077,899
365,365,-120.756432,39.015301,813
366,366,-120.745293,39.015148,597
367,367,-120.729408,39.019936,454
368,368,-120.724983,39.012959,599
369,369,-120.702026,39.029842,910
370,370,-120.666267,39.04203,1118
371,371,-120.658737,39.050247,1266
372,372,-120.652863,39.049946,1104
373,373,-120.647102,39.052162,1268
374,374,-120.632713,39.051399,1235
375,375,-120.603149,39.05241,1452
376,376,-120.592812,39.057034,1477
377,377,-120.58506,39.060669,1578
378,378,-120.571342,39.068588,1680
379,379,-120.556602,39.079735,1745
380,380,-120.542213,39.092247,1738
381,381,-120.533363,39.104156,1786
382,382,-120.514214,39.122276,1800
383,383,-120.512207,39.130116,1929
384,384,-120.510971,39.148468,2099
385,385,-120.500511,39.164078,2114
386,386,-122.369614,39.009464,373
387,387,-122.389,39.010052,511
388,388,-122.393929,39.005039,493
389,389,-122.39679,39.004002,572
390,390,-122.408508,39.008114,582
391,391,-122.422043,39.008705,522
392,392,-122.426682,39.008057,555
393,393,-122.440491,39.012764,571
394,394,-122.453087,39.020954,636
395,395,-122.46241,39.020115,615
396,396,-122.47863,39.021503,543
397,397,-122.488541,39.020638,481
398,398,-122.492722,39.017487,517
399,399,-122.494957,39.01189,523
400,400,-122.498253,39.008545,592
401,401,-122.497627,39.003983,453
402,402,-119.962952,38.939423,1906
403,403,-119.942467,38.959038,1923
404,404,-119.963623,38.938782,1906
405,405,-120.95076,39.110813,809
406,406,-120.946274,39.103157,721
407,407,-120.944717,39.095642,736
408,408,-120.968842,39.050499,690
409,409,-120.97242,39.034134,699
410,410,-120.973686,39.030201,711
411,411,-120.984581,39.019573,651
412,412,-120.990402,39.007263,639
413,413,-120.995583,38.999004,603
414,414,-121.001869,38.991631,622
415,415,-121.018822,38.974945,559
416,416,-121.024094,38.967255,548
417,417,-121.027496,38.964191,533
418,418,-121.041817,38.955132,470
419,419,-121.046623,38.950428,486
420,420,-121.05291,38.939045,498
421,421,-121.053917,38.935123,505
422,422,-121.054001,38.929852,455
423,423,-121.022079,38.929153,492
424,424,-121.013741,38.930286,430
425,425,-121.004898,38.934898,471
426,426,-120.994553,38.938641,479
427,427,-120.989754,38.942219,446
428,428,-120.977959,38.946232,518
429,429,-120.969254,38.95359,531
430,430,-120.965477,38.954384,574
431,431,-120.955406,38.95789,571
432,432,-120.951019,38.969471,552
433,433,-120.945374,38.97353,676
434,434,-120.940147,38.980553,662
435,435,-120.918991,38.996746,680
436,436,-120.910713,39.001106,721
437,437,-120.889076,39.002182,841
438,438,-120.881706,39.001251,845
439,439,-120.874001,38.99918,843
440,440,-120.867882,38.999809,868
441,441,-120.841103,39.009277,937
442,442,-120.82309,39.018486,964
443,443,-119.973793,38.929058,1917
444,444,-119.979973,38.922054,1923
445,445,-119.987694,38.917313,1906
446,446,-120.0,38.913666,1915
447,447,-121.058647,38.913517,439
448,448,-121.05468,38.91769,469
449,449,-120.001862,38.913113,1915
450,450,-120.144913,39.166664,1907
451,451,-120.144791,39.156132,1920
452,452,-120.156487,39.140301,1930
453,453,-120.159767,39.134499,1920
454,454,-120.165367,39.127731,1938
455,455,-120.166092,39.123596,1940
456,456,-120.162407,39.112228,1928
457,457,-120.164307,39.09341,1916
458,458,-120.158524,39.08049,1930
459,459,-120.146111,39.070694,1943
460,460,-120.133041,39.066177,1936
461,461,-120.130333,39.064411,1938
462,462,-120.120697,39.057755,1940
463,463,-120.119217,39.050228,1930
464,464,-120.125023,39.041172,1958
465,465,-120.120506,39.030506,1976
466,466,-120.123894,39.019669,1938
467,467,-120.119217,39.012672,1979
468,468,-120.111237,39.003235,1916
469,469,-120.106293,38.988918,1975
470,470,-120.097298,38.968277,2056
471,471,-120.109268,38.952438,1958
472,472,-120.099831,38.950588,1898
473,473,-120.081047,38.949398,1971
474,474,-120.076569,38.939194,1913
475,475,-120.065666,38.937145,1914
476,476,-120.04187,38.934689,1919
477,477,-120.031342,38.934689,1901
478,478,-120.022278,38.927101,1906
479,479,-120.012718,38.92181,1923
480,480,-121.058907,38.913082,439
481,481,-121.05265,39.181335,747
482,482,-121.056953,39.162197,707
483,483,-121.066856,39.149303,665
484,484,-121.083092,39.111477,522
485,485,-121.0868,39.064178,419
486,486,-121.093697,39.050224,438
487,487,-121.102226,39.011253,393
488,488,-121.104881,38.994675,426
489,489,-121.105698,38.982281,422
490,490,-121.104553,38.96582,371
491,491,-121.093491,38.938892,430
492,492,-121.068527,38.914444,433
493,493,-121.06778,38.913021,433
494,494,-121.067497,38.91193,435
495,495,-121.065086,38.90263,409
496,496,-121.052521,38.908215,323
497,497,-121.078033,38.893909,364
498,498,-121.078468,38.893616,376
499,499,-120.018143,38.855961,1941
500,500,-120.012733,38.859741,1934
501,501,-120.00312,38.884228,1922
502,502,-120.000687,38.897335,1933
503,503,-122.140404,39.160934,20
504,504,-122.140137,39.158379,20
505,505,-122.138519,39.155685,22
506,506,-122.131607,39.148125,22
507,507,-122.130463,39.143349,24
508,508,-122.129898,39.12801,25
509,509,-122.127831,39.117302,27
510,510,-122.12648,39.11414,26
511,511,-122.119637,39.102451,25
512,512,-122.104347,39.081421,28
513,513,-122.088623,39.05788,29
514,514,-122.059113,39.00798,48
515,515,-122.040283,38.96986,52
516,516,-122.035713,38.956261,55
517,517,-122.030968,38.949997,54
518,518,-122.015663,38.938583,46
519,519,-122.005623,38.926765,45
520,520,-121.998413,38.912788,42
521,521,-121.994408,38.898476,34
522,522,-121.987427,38.883572,26
523,523,-121.984573,38.879314,24
524,524,-121.977364,38.870838,24
525,525,-121.949471,38.848598,17
526,526,-121.944527,38.843945,16
527,527,-121.93483,38.83704,15
528,528,-121.72113,38.802849,9
529,529,-121.735313,38.814667,9
530,530,-121.751358,38.83358,5
531,531,-121.75248,38.842476,3
532,532,-121.764076,38.84573,6
533,533,-121.773514,38.846767,5
534,534,-121.788933,38.859966,12
535,535,-121.794647,38.86274,11
536,536,-121.804314,38.862854,14
537,537,-121.813797,38.869614,8
538,538,-121.823952,38.882542,6
539,539,-121.840469,38.884693,4
540,540,-121.842247,38.8899,4
541,541,-121.843826,38.967766,11
542,542,-121.865303,38.969048,6
543,543,-121.865967,39.041439,11
544,544,-121.871193,39.063934,14
545,545,-121.893677,39.071819,15
546,546,-121.902634,39.074242,13
547,547,-121.910789,39.078068,12
548,548,-121.928413,39.097126,11
549,549,-121.935806,39.125954,13
550,550,-121.941383,39.135143,17
551,551,-121.949699,39.146061,16
552,552,-121.636383,39.006054,11
553,553,-121.67038,39.006248,12
554,554,-121.671303,38.97253,10
555,555,-121.678726,38.944775,6
556,556,-121.694969,38.897911,3
557,557,-121.714478,38.847492,4
558,558,-121.71682,38.837784,6
559,559,-121.716881,38.829071,4
560,560,-121.713577,38.813145,3
561,561,-121.720543,38.802353,10
562,562,-120.009956,38.824986,2133
563,563,-120.003677,38.805424,2361
564,564,-120.0,38.801014,2390
565,565,-119.778282,38.844437,1485
566,566,-119.777763,38.814217,1546
567,567,-119.781517,38.808414,1585
568,568,-119.78772,38.80188,1628
569,569,-119.800873,38.793827,1678
570,570,-119.816727,38.788017,1788
571,571,-119.821243,38.783344,1834
572,572,-119.997864,38.79845,2436
573,573,-119.995461,38.796669,2336
574,574,-119.987358,38.798676,2435
575,575,-119.981323,38.801094,2446
576,576,-119.966431,38.801411,2616
577,577,-119.956429,38.799332,2595
578,578,-119.941467,38.78957,2373
579,579,-119.928574,38.788239,2206
580,580,-119.926193,38.787144,2192
581,581,-119.920036,38.778568,2159
582,582,-119.918541,38.777454,2153
583,583,-120.440742,38.773098,1144
584,584,-120.437843,38.773846,1138
585,585,-120.430687,38.77903,1220
586,586,-120.426613,38.779797,1221
587,587,-120.421913,38.77943,1210
588,588,-120.404373,38.780464,1233
589,589,-120.386673,38.776455,1215
590,590,-120.3825,38.77425,1275
591,591,-120.379158,38.770645,1228
592,592,-120.377388,38.769993,1228
593,593,-120.330437,38.767231,1365
594,594,-120.320824,38.768559,1258
595,595,-120.284752,38.779114,1477
596,596,-120.282738,38.779846,1542
597,597,-120.26786,38.780201,1515
598,598,-120.252159,38.781944,1560
599,599,-120.240334,38.785431,1675
600,600,-120.22049,38.785896,1703
601,601,-120.206017,38.788982,1711
602,602,-120.188026,38.79192,1728
603,603,-120.156998,38.790108,1827
604,604,-120.153297,38.792484,1783
605,605,-120.143677,38.800491,1783
606,606,-120.130302,38.809498,1836
607,607,-120.1231,38.811951,1879
608,608,-120.119637,38.805847,1987
609,609,-120.115829,38.805244,2017
610,610,-120.099052,38.809513,2113
611,611,-120.083839,38.816494,2105
612,612,-120.078346,38.817989,2109
613,613,-120.05719,38.830139,2412
614,614,-120.051628,38.829803,2397
615,615,-120.044746,38.825832,2246
616,616,-120.033417,38.811882,2270
617,617,-120.028481,38.812675,2247
618,618,-120.026993,38.819576,2120
619,619,-120.027878,38.827576,2117
620,620,-120.03688,38.841583,2021
621,621,-120.033821,38.845768,1993
622,622,-119.825172,38.778912,1793
623,623,-119.835564,38.775497,2123
624,624,-119.841423,38.767818,1793
625,625,-119.857361,38.764519,1893
626,626,-119.86705,38.766151,1962
627,627,-119.874283,38.780434,2342
628,628,-119.875793,38.782234,2395
629,629,-119.888138,38.7845,2529
630,630,-119.89106,38.784439,2537
631,631,-119.900093,38.77578,2105
632,632,-119.905006,38.774761,2140
633,633,-119.914383,38.775482,2155
634,634,-121.425842,39.008579,25
635,635,-121.414841,39.005733,26
636,636,-121.37471,38.979549,33
637,637,-121.352661,38.967434,28
638,638,-121.342812,38.94278,35
639,639,-121.332626,38.933258,39
640,640,-121.292877,38.90749,49
641,641,-121.284111,38.891502,50
642,642,-121.298203,38.828037,46
643,643,-121.294563,38.766281,45
644,644,-121.293617,38.763054,52
645,645,-121.291473,38.755619,56
646,646,-121.092628,38.888287,329
647,647,-121.106468,38.88443,287
648,648,-121.118629,38.881996,279
649,649,-121.12677,38.881058,312
650,650,-121.130493,38.87957,296
651,651,-121.132133,38.866001,239
652,652,-121.144943,38.853924,198
653,653,-121.19886,38.806656,106
654,654,-121.253197,38.763016,59
655,655,-121.259811,38.755699,59
656,656,-121.264099,38.75396,67
657,657,-121.265152,38.748802,52
658,658,-121.266037,38.744438,56
659,659,-121.042831,38.915443,259
660,660,-121.037231,38.914696,172
661,661,-121.026207,38.9109,354
662,662,-121.01857,38.91021,430
663,663,-121.012741,38.904884,403
664,664,-121.012466,38.893665,482
665,665,-121.013237,38.880127,447
666,666,-121.015747,38.872032,459
667,667,-121.015457,38.866314,459
668,668,-121.009033,38.849091,395
669,669,-121.011383,38.837566,366
670,670,-121.00882,38.833286,384
671,671,-121.003113,38.83025,355
672,672,-120.992561,38.829643,290
673,673,-120.978287,38.830521,244
674,674,-120.966713,38.832695,291
675,675,-120.957283,38.831367,275
676,676,-120.95224,38.82991,254
677,677,-120.938591,38.831684,251
678,678,-120.934708,38.829964,289
679,679,-120.927948,38.823284,266
680,680,-120.9198,38.818024,246
681,681,-120.912376,38.809761,247
682,682,-120.910049,38.8041,215
683,683,-120.895943,38.802216,291
684,684,-120.87149,38.780231,433
685,685,-120.853691,38.768593,500
686,686,-120.826187,38.755398,580
687,687,-120.818573,38.748508,518
688,688,-120.806396,38.733414,592
689,689,-121.277367,38.733181,46
690,690,-121.272377,38.735645,45
691,691,-121.286667,38.745735,46
692,692,-120.449471,38.77132,1001
693,693,-120.45504,38.771439,990
694,694,-120.463791,38.770344,1264
695,695,-120.477409,38.765717,1063
696,696,-120.49543,38.761684,1181
697,697,-120.511772,38.759972,1073
698,698,-120.523697,38.757435,1223
699,699,-120.528084,38.757118,1159
700,700,-120.550484,38.761692,1306
701,701,-120.556648,38.762024,1260
702,702,-120.570679,38.761272,1241
703,703,-120.594109,38.761238,1184
704,704,-120.597893,38.760696,1188
705,705,-120.60051,38.760181,1151
706,706,-120.614777,38.749336,1122
707,707,-120.625076,38.74247,1012
708,708,-120.633202,38.740234,982
709,709,-120.639908,38.739403,956
710,710,-120.651962,38.740974,982
711,711,-120.664352,38.743458,1011
712,712,-120.683609,38.741661,938
713,713,-120.687447,38.742493,919
714,714,-120.696259,38.743217,902
715,715,-120.711617,38.738983,912
716,716,-120.722771,38.739651,872
717,717,-120.730453,38.74131,846
718,718,-120.740677,38.740856,846
719,719,-120.742981,38.739883,848
720,720,-120.749802,38.734234,742
721,721,-120.752991,38.733246,688
722,722,-120.757652,38.732685,693
723,723,-120.767883,38.732224,686
724,724,-120.776154,38.734325,626
725,725,-120.779961,38.734241,617
726,726,-120.792641,38.732269,598
727,727,-120.802483,38.727661,564
728,728,-120.801651,38.726433,591
729,729,-120.801376,38.725704,591
730,730,-121.487167,38.974239,18
731,731,-121.486023,38.943802,18
732,732,-121.486633,38.923615,15
733,733,-121.485352,38.829247,13
734,734,-121.482697,38.818562,13
735,735,-121.484901,38.79557,13
736,736,-121.488007,38.793861,12
737,737,-121.487923,38.756279,11
738,738,-121.485313,38.751328,15
739,739,-121.481499,38.735638,12
740,740,-121.476639,38.732365,13
741,741,-121.47123,38.724525,10
742,742,-121.467056,38.715374,15
743,743,-121.466797,38.71484,15
744,744,-121.314507,38.699821,41
745,745,-121.299408,38.710468,46
746,746,-121.287987,38.721806,53
747,747,-121.281128,38.731319,42
748,748,-121.315529,38.699055,40
749,749,-120.0,38.696941,2577
750,750,-119.987297,38.695137,2639
751,751,-119.978867,38.695778,2461
752,752,-119.976624,38.705902,2516
753,753,-119.972656,38.709198,2536
754,754,-119.969757,38.709488,2476
755,755,-119.962898,38.705513,2344
756,756,-119.953339,38.715336,2269
757,757,-119.95401,38.733643,2258
758,758,-119.945999,38.745956,2240
759,759,-119.941452,38.765289,2172
760,760,-119.934036,38.770031,2169
761,761,-121.721786,38.79406,9
762,762,-121.773247,38.794521,11
763,763,-121.772453,38.781254,11
764,764,-121.774094,38.740852,16
765,765,-121.772774,38.73838,14
766,766,-121.765839,38.73473,15
767,767,-121.763512,38.710743,14
768,768,-121.760834,38.700069,14
769,769,-121.760147,38.690693,14
770,770,-121.773003,38.695351,14
771,771,-121.783089,38.698017,15
772,772,-121.790741,38.698933,18
773,773,-121.794312,38.699966,23
774,774,-121.798187,38.707184,18
775,775,-121.808708,38.718552,21
776,776,-121.827377,38.734478,18
777,777,-121.855377,38.760887,15
778,778,-121.864677,38.770908,13
779,779,-121.873817,38.783463,14
780,780,-121.885338,38.796623,13
781,781,-121.895813,38.80661,11
782,782,-121.92057,38.825996,24
783,783,-121.925499,38.830654,13
784,784,-121.327682,38.689941,45
785,785,-121.324623,38.692245,50
786,786,-121.329857,38.688305,44
787,787,-120.848503,38.681927,489
788,788,-120.840233,38.68351,518
789,789,-120.815666,38.706432,531
790,790,-120.800079,38.722221,626
791,791,-121.941437,38.806396,35
792,792,-121.947868,38.752666,61
793,793,-121.95034,38.738537,53
794,794,-121.951591,38.731728,47
795,795,-121.955017,38.72543,45
796,796,-121.957542,38.718704,47
797,797,-121.958946,38.712936,46
798,798,-121.959229,38.707897,47
799,799,-121.957787,38.703381,44
800,800,-121.954811,38.697773,40
801,801,-121.950752,38.693577,35
802,802,-121.948143,38.689102,43
803,803,-121.945992,38.680912,41
804,804,-121.963181,38.682808,43
