nodeid,longitude,latitude,elevation
207,-124.195229,41.959675,127
208,-124.193336,41.958336,174
209,-124.180748,41.949379,198
210,-124.158928,41.942097,135
211,-124.142464,41.938362,60
212,-124.133904,41.933643,201
213,-124.129044,41.923855,96
214,-124.127319,41.906742,140
215,-124.130241,41.889782,52
216,-124.13765,41.874363,13
217,-124.138832,41.861244,26
218,-124.14254,41.820175,29
219,-124.150871,41.80315,24
220,-123.531036,42.011051,1164
221,-123.530937,42.00502,1217
222,-123.519829,41.99926,1496
223,-123.519707,41.989628,1296
224,-123.50618,41.978504,1034
225,-123.4953,41.974796,970
226,-123.489502,41.967922,957
227,-123.486816,41.964745,970
228,-123.48494,41.944427,808
229,-123.487267,41.940384,842
230,-123.486343,41.937458,879
231,-123.475594,41.937645,685
232,-123.455261,41.923252,759
233,-123.443741,41.919117,809
234,-123.427353,41.898289,693
235,-123.400017,41.878563,738
236,-123.398773,41.875435,742
237,-123.396683,41.87027,651
238,-123.386581,41.864902,706
239,-123.378448,41.849087,663
240,-123.375847,41.836155,519
241,-123.376793,41.801445,387
242,-124.130623,41.812347,190
243,-124.12014,41.812119,132
244,-124.107498,41.819614,43
245,-124.085083,41.817184,179
246,-124.075661,41.812977,119
247,-124.06897,41.803082,303
248,-124.06044,41.801113,209
249,-124.056252,41.802074,104
250,-124.043533,41.816914,257
251,-124.033043,41.840046,185
252,-124.030327,41.846027,201
253,-124.019173,41.850655,165
254,-123.001801,41.82,677
255,-123.014038,41.797977,618
256,-123.027328,41.789665,575
257,-123.033409,41.789093,632
258,-122.039787,41.788746,1298
259,-122.03595,41.791595,1298
260,-122.006668,41.830334,1302
261,-121.996674,41.850285,1292
262,-121.97081,41.890228,1292
263,-121.963158,41.900379,1290
264,-121.946999,41.921818,1291
265,-121.918793,41.967587,1295
266,-123.052223,41.786892,478
267,-123.084938,41.806847,749
268,-123.09343,41.814854,795
269,-123.111557,41.814976,563
270,-123.120483,41.818138,536
271,-123.16217,41.841236,719
272,-123.173973,41.846066,589
273,-123.176933,41.847275,547
274,-123.188042,41.853752,542
275,-123.206093,41.855927,620
276,-123.22023,41.867737,1030
277,-123.239319,41.873978,612
278,-123.246193,41.877941,991
279,-123.260979,41.875248,526
280,-123.269852,41.880699,689
281,-123.290482,41.883858,1168
282,-123.298637,41.882465,910
283,-123.307953,41.871593,634
284,-123.308678,41.86673,452
285,-123.308098,41.865299,381
286,-123.301613,41.849239,455
287,-123.300758,41.84103,384
288,-123.309372,41.823544,723
289,-123.313759,41.818466,506
290,-123.323196,41.817684,759
291,-123.33194,41.807301,652
292,-123.335983,41.807751,599
293,-123.341873,41.817043,424
294,-123.349083,41.821213,571
295,-123.35778,41.819321,677
296,-123.370872,41.803631,351
297,-122.043159,41.785984,1299
298,-121.897881,41.967625,1390
299,-121.868973,41.95266,1344
300,-121.833153,41.939377,1414
301,-121.806,41.922943,1258
302,-121.797577,41.921486,1247
303,-121.775772,41.925438,1246
304,-121.772537,41.923519,1246
305,-121.776733,41.910576,1250
306,-121.779694,41.901424,1252
307,-121.777847,41.88615,1257
308,-121.768806,41.872799,1263
309,-121.754356,41.861061,1291
310,-121.733963,41.816811,1284
311,-121.732521,41.810226,1279
312,-121.734383,41.802582,1283
313,-121.740173,41.794785,1351
314,-121.745461,41.787651,1311
315,-121.750641,41.773941,1340
316,-124.148651,41.871109,29
317,-124.158913,41.840797,39
318,-124.159027,41.823792,15
319,-124.161003,41.816998,21
320,-124.168648,41.80891,7
321,-124.194763,41.788109,10
322,-124.196182,41.771416,17
323,-124.155693,41.795528,15
324,-124.188248,41.768291,9
325,-121.763817,41.779503,1448
326,-121.803207,41.777287,1343
327,-121.84935,41.771542,1355
328,-121.889122,41.77042,1346
329,-121.911873,41.767319,1332
330,-121.915749,41.767513,1334
331,-121.92141,41.767799,1332
332,-121.938026,41.775974,1316
333,-121.956573,41.773972,1311
334,-121.963501,41.776173,1304
335,-121.976784,41.784725,1308
336,-122.03241,41.78603,1299
337,-124.190178,41.766754,7
338,-124.178383,41.75943,28
339,-122.583397,41.828518,835
340,-122.585564,41.818771,738
341,-122.593651,41.803444,777
342,-122.598457,41.799065,796
343,-122.590553,41.789845,930
344,-122.593941,41.783474,853
345,-122.619057,41.763359,765
346,-122.625313,41.746933,780
347,-122.620773,41.745617,874
348,-122.585289,41.766266,753
349,-122.580109,41.776627,814
350,-122.578087,41.804482,949
351,-122.570587,41.81955,1007
352,-122.571358,41.841068,850
353,-122.622833,41.744583,822
354,-122.617889,41.740967,841
355,-120.286339,42.002735,1560
356,-120.294907,41.980164,1485
357,-120.312172,41.942757,1471
358,-120.334343,41.894653,1459
359,-120.337852,41.880802,1499
360,-120.350693,41.852917,1615
361,-120.343857,41.835041,1681
362,-120.343658,41.826115,1733
363,-120.34594,41.822639,1586
364,-120.366508,41.791271,1488
365,-120.364639,41.740494,1500
366,-120.496277,42.003895,1434
367,-120.49646,41.99929,1435
368,-120.497673,41.967964,1447
369,-120.504066,41.946224,1433
370,-120.50856,41.944244,1598
371,-120.510887,41.936836,1533
372,-120.507683,41.929386,1433
373,-120.509506,41.913521,1434
374,-120.501083,41.885399,1434
375,-120.495087,41.878559,1434
376,-120.490547,41.873379,1434
377,-120.478409,41.86507,1434
378,-120.472794,41.832047,1434
379,-120.472816,41.822197,1434
380,-120.467377,41.802452,1434
381,-120.459618,41.795605,1434
382,-120.44384,41.762608,1437
383,-120.441833,41.758396,1438
384,-120.433372,41.755234,1440
385,-120.425636,41.743347,1440
386,-120.398247,41.740791,1446
387,-122.63102,41.728477,819
388,-121.515419,41.726101,1401
389,-121.521042,41.735718,1428
390,-121.542641,41.753822,1396
391,-121.547729,41.76025,1364
392,-121.552223,41.779083,1295
393,-121.559647,41.784035,1276
394,-121.558701,41.791641,1271
395,-121.55323,41.80035,1257
396,-121.547462,41.825348,1235
397,-121.549362,41.839657,1227
398,-121.554657,41.879585,1227
399,-121.559761,41.902058,1227
400,-121.561363,41.931095,1227
401,-121.558273,41.947041,1228
402,-121.560204,41.964149,1230
403,-121.560066,41.964714,1230
404,-121.556717,41.978966,1232
405,-121.55098,41.988377,1233
406,-121.552673,42.006229,1237
407,-122.612297,41.736877,891
408,-122.595703,41.736366,778
409,-122.567337,41.728207,763
410,-122.534363,41.726242,773
411,-122.526543,41.724583,777
412,-122.516121,41.731308,816
413,-122.45784,41.730339,806
414,-122.373962,41.728886,857
415,-122.36058,41.733456,915
416,-122.329536,41.749905,964
417,-122.300583,41.759171,1055
418,-122.297333,41.760212,1115
419,-122.284126,41.759945,1294
420,-122.253052,41.75528,1262
421,-122.212921,41.7593,1460
422,-122.183937,41.757492,1598
423,-122.17263,41.754372,1580
424,-122.161743,41.748936,1606
425,-122.152481,41.748234,1646
426,-122.137337,41.751308,1717
427,-122.121437,41.754536,1762
428,-122.116928,41.759106,1629
429,-122.112183,41.775379,1423
430,-122.10379,41.770508,1357
431,-122.098618,41.770981,1310
432,-122.098152,41.779945,1340
433,-122.092659,41.783875,1356
434,-122.086319,41.785091,1296
435,-120.953568,41.843918,1437
436,-120.981354,41.841969,1440
437,-120.993637,41.837612,1431
438,-121.02021,41.822182,1429
439,-121.062317,41.823566,1374
440,-121.07402,41.833202,1374
441,-121.09108,41.831406,1377
442,-121.092987,41.830429,1371
443,-121.103233,41.825211,1375
444,-121.112183,41.812721,1372
445,-121.126083,41.805313,1369
446,-121.143417,41.798916,1366
447,-121.152679,41.799702,1363
448,-121.16217,41.803913,1363
449,-121.180687,41.788067,1363
450,-121.189262,41.783607,1375
451,-121.212334,41.762997,1332
452,-121.215424,41.759426,1329
453,-121.219704,41.754459,1333
454,-121.235863,41.744652,1352
455,-121.254387,41.73819,1313
456,-121.270393,41.72197,1283
457,-121.274849,41.720188,1279
458,-121.502983,42.005657,1234
459,-121.463493,41.966152,1229
460,-121.423302,41.930233,1229
461,-121.396309,41.913357,1231
462,-121.311279,41.860096,1256
463,-121.301498,41.847889,1256
464,-121.298126,41.835194,1258
465,-121.298393,41.819431,1272
466,-121.298653,41.804008,1275
467,-121.29483,41.751003,1353
468,-121.290779,41.741543,1349
469,-122.63343,41.720177,853
470,-122.632973,41.711945,826
471,-124.142677,41.740116,177
472,-124.124542,41.721794,306
473,-124.119041,41.71159,332
474,-124.111076,41.70385,171
475,-124.100487,41.699951,239
476,-124.099953,41.695396,256
477,-124.1064,41.687618,406
478,-121.276741,41.716675,1281
479,-121.274773,41.706215,1270
480,-121.238953,41.660023,1294
481,-124.108063,41.65995,250
482,-120.030167,42.002838,1666
483,-120.030792,42.001999,1657
484,-120.020866,41.988544,1615
485,-120.018967,41.98127,1599
486,-120.025528,41.965511,1623
487,-120.037666,41.956692,1654
488,-120.044777,41.953781,1686
489,-120.047287,41.952751,1687
490,-120.065224,41.937122,1603
491,-120.070709,41.924595,1683
492,-120.068558,41.91275,1724
493,-120.063179,41.903748,1658
494,-120.066544,41.897469,1551
495,-120.101753,41.895985,1504
496,-120.103851,41.889282,1427
497,-120.11969,41.892712,1438
498,-120.129173,41.891972,1435
499,-120.131203,41.883366,1399
500,-120.133423,41.873985,1383
501,-120.142578,41.873028,1386
502,-120.147591,41.857765,1381
503,-120.155197,41.856625,1389
504,-120.160507,41.852802,1388
505,-120.168167,41.829674,1366
506,-120.166199,41.815765,1361
507,-120.167267,41.801533,1367
508,-120.179047,41.772514,1359
509,-120.180527,41.768848,1361
510,-120.191597,41.730049,1362
511,-120.208328,41.699776,1373
512,-120.213463,41.664585,1369
513,-120.210983,41.658478,1369
514,-120.201599,41.655144,1364
515,-120.198517,41.654049,1366
516,-122.624184,41.696579,959
517,-122.61657,41.687344,1077
518,-122.600853,41.676468,932
519,-122.580116,41.667686,917
520,-122.541359,41.659145,807
521,-122.537163,41.656841,803
522,-122.535881,41.653244,796
523,-121.248459,41.654797,1276
524,-121.259933,41.652737,1275
525,-121.267326,41.653358,1273
526,-121.278633,41.657486,1269
527,-121.294823,41.657066,1286
528,-121.321098,41.673645,1271
529,-121.348938,41.681908,1285
530,-121.362373,41.681362,1287
531,-121.375122,41.6758,1315
532,-121.387497,41.677582,1330
533,-121.390503,41.677544,1325
534,-121.412262,41.67725,1320
535,-121.41967,41.673962,1373
536,-121.425537,41.674637,1339
537,-121.432228,41.682381,1324
538,-121.440689,41.69738,1317
539,-121.470451,41.710575,1350
540,-121.487602,41.714668,1368
541,-121.500687,41.72168,1384
542,-122.53019,41.654221,831
543,-122.525833,41.651558,784
544,-124.101967,41.627724,216
545,-122.661491,41.689342,861
546,-122.673889,41.68433,917
547,-122.684563,41.683765,976
548,-122.690247,41.675896,996
549,-122.693604,41.675716,1029
550,-122.712189,41.687576,1326
551,-122.724564,41.675907,1251
552,-122.741089,41.653236,1045
553,-122.74202,41.647594,1053
554,-122.742844,41.64259,1137
555,-122.765312,41.631065,894
556,-122.781433,41.629967,950
557,-122.807213,41.630642,887
558,-122.817223,41.632851,908
559,-122.825363,41.628281,849
560,-122.838417,41.613045,837
561,-122.853981,41.626724,949
562,-122.858932,41.633564,1003
563,-122.88237,41.635265,882
564,-122.913483,41.649612,914
565,-122.92321,41.648849,901
566,-122.940224,41.641254,866
567,-122.947952,41.641975,870
568,-122.963181,41.647324,1008
569,-122.982178,41.649422,886
570,-122.999107,41.651291,940
571,-123.013947,41.655735,1157
572,-123.045914,41.65073,1004
573,-123.074493,41.642464,1003
574,-123.091743,41.640343,984
575,-123.100052,41.640789,938
576,-123.11087,41.64476,743
577,-123.112534,41.669937,712
578,-123.112556,41.670593,712
579,-123.108276,41.682766,889
580,-123.097511,41.69141,891
581,-123.07093,41.701401,869
582,-123.028816,41.709507,612
583,-123.01796,41.717457,552
584,-123.006752,41.731159,537
585,-123.003952,41.740036,516
586,-123.005142,41.749378,608
587,-123.005402,41.751427,595
588,-123.015862,41.767132,695
589,-123.031708,41.78437,510
590,-122.84021,41.610958,834
591,-122.839188,41.609867,857
592,-121.900482,41.594322,1459
593,-121.89061,41.600735,1447
594,-121.877327,41.602947,1458
595,-121.875214,41.606941,1451
596,-121.880829,41.623413,1435
597,-121.880463,41.630077,1420
598,-121.87751,41.635258,1409
599,-121.857552,41.641895,1405
600,-121.839561,41.650272,1385
601,-121.832787,41.649891,1387
602,-121.82251,41.643711,1401
603,-121.789993,41.638092,1527
604,-121.787758,41.637707,1533
605,-121.772713,41.637005,1577
606,-121.770348,41.645821,1553
607,-121.747177,41.654644,1512
608,-121.724243,41.654743,1517
609,-121.707413,41.666485,1558
610,-121.698418,41.668945,1586
611,-121.692307,41.668983,1590
612,-121.67643,41.661659,1704
613,-121.671227,41.661655,1709
614,-121.662773,41.674858,1653
615,-121.657013,41.678505,1649
616,-121.620438,41.685635,1725
617,-121.608208,41.685932,1800
618,-121.598549,41.679703,1814
619,-121.559059,41.683689,1584
620,-121.553307,41.680496,1641
621,-121.546013,41.681263,1642
622,-121.538986,41.685459,1610
623,-121.536911,41.690357,1587
624,-121.537933,41.699711,1595
625,-121.529373,41.703968,1578
626,-121.524162,41.712227,1506
627,-121.751793,41.77087,1358
628,-121.761047,41.763813,1350
629,-121.771187,41.76038,1345
630,-121.784439,41.745808,1338
631,-121.809387,41.728188,1334
632,-121.835373,41.719913,1353
633,-121.862793,41.702854,1422
634,-121.876923,41.695793,1405
635,-121.877724,41.695717,1413
636,-121.900017,41.693592,1500
637,-121.906181,41.690331,1412
638,-121.913551,41.683117,1375
639,-121.918541,41.673031,1380
640,-121.921333,41.658463,1387
641,-121.91684,41.614891,1431
642,-121.903679,41.596012,1450
643,-123.376183,41.795742,345
644,-123.385422,41.793129,386
645,-123.395027,41.785213,335
646,-123.404678,41.757557,718
647,-123.41127,41.750282,689
648,-123.438187,41.737888,387
649,-123.446922,41.727726,464
650,-123.448883,41.720264,444
651,-123.447289,41.708195,288
652,-123.444504,41.699226,302
653,-123.443077,41.694675,378
654,-123.437698,41.684441,283
655,-123.440208,41.679241,384
656,-123.457329,41.670181,600
657,-123.462639,41.662518,640
658,-123.464577,41.634857,319
659,-123.468361,41.630039,389
660,-123.489143,41.626724,623
661,-123.494431,41.621811,559
662,-123.500053,41.611374,370
663,-123.513443,41.602333,373
664,-123.51461,41.601543,409
665,-123.523277,41.591145,420
666,-123.518356,41.570435,552
667,-119.994759,41.567501,1540
668,-120.0,41.565628,1509
669,-120.369057,41.696152,1482
670,-120.404297,41.622433,1455
671,-120.404953,41.619404,1464
672,-120.408386,41.603069,1455
673,-120.424667,41.588573,1458
674,-120.432999,41.563572,1469
675,-124.090912,41.618362,32
676,-124.088257,41.611416,120
677,-124.088753,41.602428,256
678,-124.08036,41.591038,185
679,-124.060417,41.577652,127
680,-124.054207,41.566349,10
681,-124.047592,41.562187,131
682,-122.231903,41.545959,1270
683,-122.227783,41.546043,1273
684,-122.219177,41.556095,1296
685,-122.198914,41.57267,1402
686,-122.192253,41.580559,1456
687,-122.189041,41.589424,1476
688,-122.196609,41.613361,1500
689,-122.192093,41.642467,1543
690,-122.184082,41.649044,1537
691,-122.177551,41.651424,1537
692,-122.175537,41.651691,1537
693,-122.147888,41.655373,1564
694,-122.130661,41.654366,1605
695,-122.082939,41.680027,1550
696,-122.042091,41.696857,1607
697,-122.038467,41.701153,1615
698,-122.03788,41.708744,1653
699,-122.058456,41.756607,1307
700,-122.059334,41.76688,1298
701,-122.521049,41.65469,780
702,-122.48439,41.655655,796
703,-122.470573,41.651772,775
704,-122.455078,41.649811,788
705,-122.440239,41.644833,791
706,-122.429337,41.64286,804
707,-122.421944,41.635441,807
708,-122.412354,41.630878,803
709,-122.384277,41.631836,823
710,-122.371277,41.630196,839
711,-122.36998,41.629177,840
712,-122.348244,41.612087,874
713,-122.334579,41.606346,893
714,-122.301308,41.600204,942
715,-122.284378,41.592098,1004
716,-122.253502,41.571152,1120
717,-122.23893,41.55632,1225
718,-122.234383,41.551682,1256
719,-122.234001,41.547344,1265
720,-120.006493,41.563305,1477
721,-120.024406,41.56142,1395
722,-120.058411,41.551968,1379
723,-120.097527,41.547161,1364
724,-120.120407,41.541218,1362
725,-120.130653,41.541096,1362
726,-120.163162,41.540703,1402
727,-120.165627,41.547886,1402
728,-120.163841,41.588692,1389
729,-120.168282,41.603214,1386
730,-120.172653,41.610638,1395
731,-120.174316,41.630508,1385
732,-120.171753,41.645237,1364
733,-120.173347,41.652287,1358
734,-120.176537,41.654709,1358
735,-120.18885,41.654339,1363
736,-120.202713,41.545162,1775
737,-120.219383,41.548546,1960
738,-120.230904,41.552773,1872
739,-120.253708,41.567871,2017
740,-120.26712,41.572952,2070
741,-120.306686,41.570805,1878
742,-120.314987,41.57169,1815
743,-120.318802,41.570705,1840
744,-120.332153,41.567257,1754
745,-120.353241,41.567734,1616
746,-120.375526,41.573208,1545
747,-120.400017,41.574257,1514
748,-120.411873,41.573189,1454
749,-120.428093,41.563274,1469
750,-124.044434,41.55344,113
751,-124.02253,41.530991,109
752,-123.530487,41.558575,395
753,-123.538971,41.535107,602
754,-123.540901,41.533154,665
755,-123.551079,41.531155,1000
756,-123.556824,41.527592,947
757,-123.572884,41.529133,1303
758,-123.579376,41.532639,1138
759,-123.586563,41.548035,753
760,-123.593948,41.554008,1022
761,-123.611008,41.558929,1025
762,-123.999687,41.534546,276
763,-123.986313,41.529907,11
764,-123.969841,41.533043,273
765,-123.964851,41.540253,164
766,-123.957603,41.538425,266
767,-123.952843,41.528862,355
768,-123.944763,41.527779,719
769,-123.935371,41.531368,637
770,-123.922363,41.529911,838
771,-123.915916,41.535149,943
772,-123.90593,41.557602,719
773,-123.902023,41.555557,837
774,-123.901466,41.553532,745
775,-123.897827,41.540215,849
776,-123.88929,41.529739,968
777,-123.87986,41.524834,1052
778,-123.869148,41.52483,873
779,-123.860168,41.529308,873
780,-123.84552,41.548607,923
781,-123.834671,41.5555,790
782,-123.832947,41.570072,898
783,-123.83638,41.576054,1065
784,-123.857338,41.590214,1017
785,-123.865891,41.595985,927
786,-123.867104,41.601189,984
787,-123.857986,41.631618,825
788,-123.881058,41.659306,458
789,-123.888046,41.674934,434
790,-123.906563,41.686607,259
791,-123.906799,41.691414,206
792,-123.899696,41.693707,302
793,-123.897171,41.695839,307
794,-123.894096,41.698425,348
795,-123.888031,41.717873,494
796,-123.887192,41.734692,447
797,-123.873497,41.743832,486
798,-123.872391,41.750332,455
799,-123.878059,41.759613,721
800,-123.878632,41.767384,804
801,-123.875717,41.77951,1114
802,-123.867561,41.794266,1263
803,-123.859703,41.800739,1126
804,-123.859177,41.811008,1040
805,-123.85894,41.815712,1142
806,-123.856956,41.819969,1096
807,-123.858513,41.82814,910
808,-123.864571,41.832806,911
809,-123.88578,41.838116,774
810,-123.89698,41.839237,533
811,-123.934563,41.831776,412
812,-123.957611,41.836956,355
813,-123.979683,41.833694,432
814,-123.996788,41.834946,359
815,-123.997978,41.835033,422
816,-124.00415,41.837849,278
817,-122.533463,41.646484,796
818,-122.523933,41.632755,782
819,-122.524773,41.568504,814
820,-122.519188,41.529644,837
821,-122.518044,41.521614,844
822,-120.434303,41.559639,1458
823,-120.453072,41.5359,1394
824,-120.479187,41.523365,1353
825,-120.528503,41.505951,1356
826,-120.612389,41.505306,1360
827,-120.623329,41.515091,1483
828,-120.636101,41.534348,1518
829,-120.64679,41.544518,1520
830,-120.662727,41.555645,1534
831,-120.683167,41.575092,1515
832,-120.687103,41.589153,1490
833,-120.696663,41.611073,1533
834,-120.697433,41.612843,1529
835,-120.693283,41.624897,1555
836,-120.702599,41.68618,1509
837,-120.706833,41.690384,1521
838,-120.721321,41.69698,1542
839,-120.739113,41.716969,1581
840,-120.741943,41.724506,1613
841,-120.747192,41.738445,1593
842,-120.747658,41.765224,1547
843,-120.755653,41.780293,1524
844,-120.750252,41.796745,1515
845,-120.604393,41.509785,1484
846,-120.590698,41.51025,1336
847,-120.563202,41.504539,1344
848,-120.540581,41.503696,1345
849,-120.53756,41.501057,1346
850,-120.533363,41.497375,1335
851,-120.531723,41.503532,1350
852,-120.53125,41.495533,1335
853,-120.537086,41.492104,1335
854,-120.521622,41.488621,1332
855,-124.02079,41.529037,51
856,-124.024117,41.520782,3
857,-124.043839,41.500893,248
858,-124.047333,41.491478,127
859,-124.039833,41.479568,184
860,-124.040367,41.471035,152
861,-122.856247,41.59013,828
862,-122.898323,41.554104,852
863,-122.902901,41.525867,851
864,-122.901718,41.499916,862
865,-122.901573,41.496578,861
866,-122.892433,41.481255,854
867,-122.892662,41.470692,875
868,-122.520126,41.648087,780
869,-122.50309,41.62236,792
870,-122.469017,41.543846,810
871,-122.467819,41.534893,818
872,-122.465309,41.516293,819
873,-122.451843,41.485565,883
874,-122.442413,41.469078,895
875,-122.51738,41.51775,850
876,-122.504807,41.500511,861
877,-122.497292,41.495163,874
878,-122.461693,41.476353,876
879,-122.451767,41.467915,905
880,-122.37883,41.450974,1043
881,-122.36293,41.454067,1061
882,-122.354668,41.46067,1063
883,-122.343697,41.485065,1087
884,-122.30529,41.523888,1052
885,-122.296913,41.529346,1064
886,-122.272888,41.534203,1148
887,-122.270111,41.536755,1145
888,-122.261292,41.544861,1224
889,-122.235817,41.543587,1264
890,-120.870506,41.44828,1311
891,-120.848969,41.460415,1310
892,-120.834297,41.464611,1362
893,-120.802238,41.463936,1330
894,-120.741631,41.479603,1358
895,-120.719551,41.49229,1425
